loss,val_loss,acc,val_acc
0.5786152629772958,0.5206755605500067,0.6923861454778157,0.7449528452990305
0.5266825103617365,0.5050085208300129,0.7391878199658704,0.7563359174886932
0.5142226781403653,0.49775668597587236,0.74771357721843,0.760969469309463
0.5073740749076365,0.49286492729126036,0.7525602030876146,0.7640405210387676
0.5018145118811431,0.4871868608552781,0.7558093803327645,0.767037643800916
0.49789750629419355,0.48459415926652794,0.7585586109055594,0.7694333439592815
0.49401166307844807,0.4813306299621797,0.7616944668541182,0.770965872823125
0.49235428035666107,0.4798407033276375,0.7625586604095563,0.7717411284861357
0.49047107023183806,0.47907242620997414,0.764144681724672,0.772576326756831
0.48811255736155723,0.4771864562083388,0.7655092980776224,0.7730858376263963
