,loss,val_loss,acc,val_acc
0,0.6815004507429364,0.6741094546658652,0.5516116991384852,0.5954620686112618
1,0.6600099661651325,0.6632364951834386,0.6037932298696082,0.616648445324022
2,0.650239615513603,0.661439412710618,0.6229529065483667,0.6220105229591837
3,0.6472270700304988,0.6560399733027633,0.6272470721205754,0.6248215801861822
4,0.6458500701005955,0.6543195411867025,0.629140633568422,0.6264748086734694
5,0.6444783304331653,0.6539527044004324,0.6306462794440598,0.6275301417525934
6,0.6425902184365959,0.6541528166556845,0.6348454014433121,0.6309580754260627
7,0.640502268950687,0.6536522531995967,0.6376463929540875,0.6326929209183674
8,0.6384393064235258,0.6506016157111343,0.6407806822464328,0.6378955597780189
9,0.6366636608647812,0.6489847813333783,0.6424084657695106,0.6412058125953285
