loss,val_loss,acc,val_acc
0.6386705639012438,0.5868472730626866,0.6275115601031853,0.6835690748934843
0.5646420740633694,0.5499303584196129,0.7061358617027464,0.7215401785714286
0.5359106144197158,0.5314091249388091,0.7314957372157647,0.7382831482254729
0.5213430312306401,0.521459197207373,0.7437868993030067,0.744599960288223
0.513053279687927,0.5155433781292974,0.74966670221843,0.7471301020408163
0.507493657565361,0.5109946989283269,0.7539724795077848,0.7503207757764933
0.5031189861557996,0.5073158339578279,0.7572271860500245,0.7529932734917621
0.49922331964196603,0.5037750388894763,0.7598152970291242,0.75532601439223
0.49546937110481004,0.49996085373722776,0.7616301573584104,0.7571197006167197
0.49200725779191623,0.4967040340511166,0.7642827776511781,0.758974125190657
