Model,Loss,Accuracy,AUC,Max. Speedup,Best Threshold
deepset_cartesian,0.6326069831848145,0.6363949775695801,0.699286279175,2.4847770523279737,0.6184668
deepset_combined_cartesian,0.4759317636489868,0.7752825021743774,0.8516842379624999,4.757560774213842,1.7565566
deepset_gcn_cartesian,0.6245923042297363,0.6466224789619446,0.7070236984124999,2.7336975235358283,1.1926049
deepset_combined_wgcn_cartesian,0.46728789806365967,0.778612494468689,0.8592068257625001,5.235707450444291,1.9926027
transformer_cartesian,0.44072839617729187,0.7949525117874146,0.8718769747249999,5.301127890812587,1.7742796
deepset_combined_wgcn_normalized_cartesian,0.47700557112693787,0.7733075022697449,0.8509875691500001,4.979157712511939,1.7213917
optimal_model_cylindrical,0.4444965720176697,0.7917425036430359,0.8723799592624999,5.934379764126207,1.9007105
