,loss,val_loss,acc,val_acc
0,0.6836094614181909,0.6750063111587447,0.5663494817632864,0.5764224219078921
1,0.6681923524511552,0.6633310275418418,0.590052759891484,0.5953159168058512
2,0.6579929287116275,0.6552061998114294,0.6057874257247196,0.6072757225863787
3,0.6513011656930422,0.650137044337331,0.6143869385377538,0.616126472852668
4,0.6469011601734487,0.6466735552768318,0.6207462602101088,0.6207520955679368
5,0.6439004772352277,0.644388561346093,0.6232530895760442,0.6238440688775511
6,0.6418898728113532,0.6426656763164365,0.6258936681031367,0.6254365584071802
7,0.6404661344993643,0.6415413502527743,0.6271068720280514,0.627649720834226
8,0.6392400669563345,0.6404031715830978,0.6286667056457989,0.6286651936112618
9,0.6381778269497608,0.6395820208958217,0.6296803609503007,0.6303013392857143
